,waiting,duration
0,80,4.0166667
1,71,2.15
2,57,4.0
3,80,4.0
4,75,4.0
5,77,2.0
6,60,4.383333299999999
7,86,4.2833333
8,77,2.0333333
9,56,4.8333333
10,81,1.8333332999999998
11,50,5.45
12,89,1.6166667
13,54,4.866666700000001
14,90,4.383333299999999
15,73,1.7666667
16,60,4.6666667
17,83,2.0
18,65,4.7333333
19,82,4.2166667
20,84,1.9
21,54,4.9666667
22,85,2.0
23,58,4.0
24,79,2.0
25,57,4.0
26,88,2.8333333
27,68,4.5
28,76,4.0666667
29,78,3.7166667
30,74,3.5166667
31,85,4.4666667
32,75,2.2166667
33,65,4.883333299999999
34,76,2.6
35,58,4.15
36,91,2.2
37,50,4.7666667
38,87,1.8333332999999998
39,48,4.6
40,93,2.2666667
41,54,4.133333299999999
42,86,2.0
43,53,4.0
44,78,2.0
45,52,4.0
46,83,1.8833332999999999
47,60,4.2666667
48,87,2.0833333
49,49,4.4666667
50,80,2.5
51,60,4.0
52,92,1.7666667
53,43,4.3333333
54,89,2.1833332999999997
55,60,4.4833333
56,84,3.8833333
57,69,3.3333333
58,74,3.7333333
59,71,4.0
60,108,1.95
61,50,5.2666667
62,77,2.0
63,57,4.0
64,80,2.0
65,61,4.0
66,82,2.0
67,48,4.0
68,81,3.5333333
69,73,2.1666667
70,62,4.5
71,79,2.0166667
72,54,4.15
73,80,4.2
74,73,4.3333333
75,81,1.9333333
76,62,4.65
77,81,3.8166667000000003
78,71,4.0333333
79,79,4.1666667
80,81,4.6666667
81,74,1.8166667
82,59,4.0
83,81,3.0
84,66,4.0
85,87,2.0
86,53,4.45
87,80,2.05
88,50,4.25
89,87,1.9166667000000002
90,51,4.6666667
91,82,1.7333333
92,58,4.383333299999999
93,81,1.7666667
94,49,4.6
95,92,1.8666667000000001
96,50,4.45
97,88,1.6333333
98,62,5.0333333
99,93,1.8166667
100,56,5.1
101,89,1.6333333
102,51,4.2833333
103,79,2.0
104,58,4.0
105,82,2.0
106,52,4.5333333
107,88,2.0
108,52,4.0
109,78,2.9333332999999997
110,69,4.7333333
111,75,3.9
112,77,1.95
113,53,4.116666700000001
114,80,1.8
115,55,4.6666667
116,87,1.8333332999999998
117,53,4.7
118,85,2.1166667
119,61,4.7833333
120,93,1.8166667
121,54,4.1
122,76,4.65
123,80,4.0
124,81,2.0
125,59,4.0
126,86,4.0
127,78,4.2166667
128,71,4.133333299999999
129,77,3.9333332999999997
130,76,3.75
131,94,4.4166667
132,75,2.4666667
133,50,4.1666667
134,83,3.8
135,82,4.3166667
136,72,3.8666667
137,77,4.6833333
138,75,1.7
139,65,4.9666667
140,79,4.2666667
141,72,4.5833333
142,78,4.0
143,77,4.0
144,79,4.0
145,75,4.0
146,78,1.9833333
147,64,4.6
148,80,0.8333333
149,49,4.9166667
150,88,1.7333333
151,54,4.5833333
152,85,1.7
153,51,4.75
154,96,1.8333332999999998
155,50,4.5
156,80,1.8666667000000001
157,78,4.45
158,81,4.45
159,72,4.0
160,75,4.8
161,78,4.0
162,87,4.0
163,69,2.0
164,55,4.0
165,83,1.9333333
166,49,4.5833333
167,82,2.0
168,57,3.7
169,84,2.8666667
170,57,4.8333333
171,84,3.45
172,73,4.383333299999999
173,78,1.8
174,57,4.4
175,79,2.4833333
176,57,4.5166667
177,90,2.1
178,62,4.35
179,87,4.366666700000001
180,78,1.7833332999999998
181,52,4.9166667
182,98,1.8166667
183,48,4.0
184,78,4.0
185,79,4.0
186,65,3.8666667
187,84,1.85
188,50,4.7
189,83,2.0166667
190,60,4.4666667
191,80,1.8666667000000001
192,50,4.1666667
193,88,1.9
194,50,4.25
195,84,3.25
196,74,4.2166667
197,76,1.8833332999999999
198,65,4.9833333
199,89,1.85
200,49,4.0
201,88,1.9666667000000002
202,51,4.7666667
203,78,4.0
204,85,2.0
205,65,4.0
206,75,4.0
207,77,2.3833333
208,69,4.4166667
209,92,4.2166667
210,68,4.366666700000001
211,87,2.0
212,61,4.45
213,81,1.75
214,55,4.5
215,93,1.6166667
216,53,4.7
217,84,2.5666667000000003
218,70,3.7
219,73,4.2333333
220,93,1.9333333
221,50,4.35
222,87,4.0
223,77,4.0
224,74,4.0
225,72,4.2166667
226,82,4.0
227,74,4.133333299999999
228,80,1.8833332999999999
229,49,4.4666667
230,91,1.95
231,53,4.2166667
232,86,1.7166667000000002
233,49,4.45
234,79,4.25
235,89,3.9666667
236,87,4.383333299999999
237,76,1.9666667000000002
238,59,4.45
239,80,4.2666667
240,89,1.9166667000000002
241,45,4.4166667
242,93,3.0
243,72,4.0
244,71,2.0
245,54,4.0
246,79,3.2833333
247,74,1.8333332999999998
248,65,4.616666700000001
249,78,1.8333332999999998
250,57,4.616666700000001
251,87,4.6
252,72,4.25
253,84,1.9333333
254,47,4.9833333
255,84,1.9666667000000002
256,57,4.3
257,87,4.2
258,68,4.5333333
259,86,4.4
260,75,4.616666700000001
261,73,2.0
262,53,4.0
263,82,4.0
264,93,3.9166667
265,77,2.0
266,54,4.5
267,96,1.8
